cliente,recencia,frequencia,monetario,total_produtos_comprados,R,F,M,RFM_Score,RFM_Segment,Classe_Score,Classe_Segmento,Acao
Danilo Martins,17,52,48994.0,138,2,5,4,11,254,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Danilo Pereira,246,33,35384.0,72,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Danilo Pinto,25,38,47309.0,112,2,3,4,9,234,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Danilo Santos,5,28,28673.0,59,1,1,2,4,112,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Danilo Sousa,35,47,43554.0,111,3,5,4,12,354,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Danilo Souza,5,26,31015.0,56,1,1,2,4,112,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Davi Cavalcanti,50,76,64672.0,182,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Davi Pereira,86,56,56280.0,130,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Davi Pinto,200,18,14203.0,48,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Diego Araujo,5,31,36217.0,76,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Diego Barros,142,35,32266.0,87,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Diego Carvalho,44,44,42825.0,128,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Diego Correia,5,18,12949.0,40,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Diego Gomes,8,35,40287.0,88,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Diego Pinto,73,33,36300.0,85,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Diego Ribeiro,31,21,20630.0,44,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Diego Rocha,6,28,32401.0,72,1,1,2,4,112,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Diego Souza,80,26,26221.0,62,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Diogo Cardoso,41,56,52866.0,155,3,5,4,12,354,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Diogo Castro,8,41,35533.0,99,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Diogo Fernandes,223,35,38977.0,80,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Diogo Gomes,114,45,32936.0,107,5,4,2,11,542,Alto Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Diogo Lima,76,32,45279.0,90,4,2,4,10,424,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Diogo Martins,49,38,41774.0,89,3,3,3,9,333,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Diogo Pereira,38,36,37880.0,92,3,3,3,9,333,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Douglas Barros,93,42,45426.0,109,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Douglas Cavalcanti,76,38,35184.0,83,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Douglas Lima,1,30,25238.0,75,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Douglas Pinto,168,24,28330.0,45,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Douglas Rocha,17,39,31913.0,103,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Eduarda Barros,37,35,47462.0,95,3,2,4,9,324,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Eduarda Cavalcanti,146,42,38967.0,105,5,4,3,12,543,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduarda Dias,41,45,44743.0,112,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduarda Ferreira,81,35,42371.0,96,4,2,4,10,424,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Eduarda Goncalves,6,49,42627.0,124,1,5,4,10,154,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Eduarda Melo,76,46,44080.0,132,4,4,4,12,444,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Eduarda Oliveira,44,38,46790.0,95,3,3,4,10,334,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduardo Barbosa,136,21,19669.0,51,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Eduardo Barros,46,27,23011.0,55,3,1,1,5,311,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Eduardo Carvalho,118,70,65820.0,180,5,5,5,15,555,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Eduardo Correia,68,39,43273.0,94,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduardo Cunha,11,41,36988.0,120,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Eduardo Fernandes,66,36,46817.0,72,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduardo Ferreira,42,31,32822.0,75,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Eduardo Pereira,17,57,61742.0,133,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Eduardo Rocha,110,36,40330.0,98,5,3,3,11,533,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduardo Rodrigues,38,66,67114.0,178,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Eduardo Santos,55,28,39597.0,64,4,1,3,8,413,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Eduardo Sousa,68,33,32566.0,75,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Emilly Barbosa,4,43,34647.0,109,1,4,2,7,142,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emilly Carvalho,102,34,37006.0,83,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Emilly Castro,1,55,36072.0,143,1,5,3,9,153,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emilly Costa,1,40,44487.0,94,1,4,4,9,144,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emilly Fernandes,202,36,31833.0,97,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Emilly Rodrigues,27,42,45830.0,116,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emilly Santos,17,32,20975.0,87,2,2,1,5,221,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emilly Sousa,11,35,32392.0,87,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emilly Souza,16,32,20971.0,86,2,2,1,5,221,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emily Cardoso,2,40,41351.0,120,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emily Cunha,247,26,32548.0,67,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Emily Fernandes,25,35,39811.0,73,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emily Ferreira,31,25,24418.0,65,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emily Goncalves,9,37,28679.0,103,1,3,2,6,132,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Emily Lima,76,65,85430.0,182,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Emily Rodrigues,39,48,57561.0,113,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Enzo Alves,43,30,26406.0,71,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Enzo Carvalho,11,39,37868.0,94,1,3,3,7,133,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Enzo Cavalcanti,133,32,27981.0,84,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Enzo Dias,26,42,61725.0,99,2,4,5,11,245,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Enzo Lima,7,42,33866.0,98,1,4,2,7,142,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Enzo Oliveira,19,41,31403.0,104,2,4,2,8,242,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Enzo Santos,26,20,17075.0,44,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Erick Costa,208,34,35851.0,93,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Erick Ferreira,176,44,45918.0,103,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Erick Gomes,65,28,31213.0,64,4,1,2,7,412,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Erick Rodrigues,84,16,8518.0,41,4,1,1,6,411,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Estevan Araujo,78,38,36948.0,98,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Estevan Barbosa,81,36,36769.0,86,4,3,3,10,433,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Estevan Cardoso,53,38,22766.0,106,4,3,1,8,431,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Estevan Carvalho,72,42,26797.0,110,4,4,2,10,442,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Estevan Castro,4,29,24745.0,60,1,1,1,3,111,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Estevan Fernandes,13,34,32837.0,93,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Estevan Lima,26,35,39132.0,90,2,2,3,7,223,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Estevan Martins,143,30,36134.0,82,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Estevan Ribeiro,4,37,41448.0,85,1,3,3,7,133,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Evelyn Almeida,12,27,18139.0,69,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Evelyn Barros,10,42,35863.0,113,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Evelyn Carvalho,156,36,34099.0,88,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Evelyn Fernandes,324,36,27744.0,99,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Evelyn Ribeiro,49,45,35213.0,128,3,4,3,10,343,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Evelyn Souza,56,92,100247.0,253,4,5,5,14,455,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Felipe Araujo,22,38,35160.0,90,2,3,3,8,233,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Felipe Barbosa,17,51,57570.0,151,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Felipe Carvalho,113,41,47958.0,104,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Felipe Costa,53,37,31167.0,98,4,3,2,9,432,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Felipe Gomes,101,25,29556.0,65,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Felipe Goncalves,85,32,37524.0,74,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Felipe Martins,36,46,47089.0,130,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Felipe Oliveira,81,30,15897.0,70,4,2,1,7,421,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Felipe Pereira,39,33,20839.0,88,3,2,1,6,321,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Felipe Silva,68,35,32668.0,99,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Fernanda Araujo,52,81,99677.0,218,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Fernanda Cunha,5,78,78895.0,179,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Fernanda Gomes,57,40,39532.0,102,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Fernanda Lima,33,26,28660.0,65,3,1,2,6,312,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Fernanda Oliveira,108,20,21582.0,48,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Fernanda Pinto,21,50,36224.0,128,2,5,3,10,253,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Fernanda Rocha,174,39,31935.0,101,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Fábio Barbosa,40,35,39101.0,85,3,2,3,8,323,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Fábio Cavalcanti,159,35,28875.0,98,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Fábio Correia,25,36,31955.0,86,2,3,2,7,232,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Fábio Fernandes,50,46,50797.0,113,3,4,4,11,344,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Fábio Ferreira,42,46,56479.0,121,3,4,5,12,345,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Fábio Martins,123,34,38576.0,89,5,2,3,10,523,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Fábio Pereira,37,54,38114.0,148,3,5,3,11,353,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Fábio Pinto,11,39,39966.0,94,1,3,3,7,133,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gabriel Almeida,18,35,31999.0,111,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gabriel Carvalho,33,31,35270.0,67,3,2,3,8,323,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Gabriel Castro,105,43,53614.0,103,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Gabriel Fernandes,44,47,55171.0,125,3,5,5,13,355,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Gabriel Gomes,7,34,35675.0,77,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gabriel Rodrigues,94,28,21829.0,76,4,1,1,6,411,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Gabriel Souza,53,33,34199.0,85,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Gabriela Costa,20,29,40419.0,65,2,1,3,6,213,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gabriela Cunha,65,40,37867.0,94,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Gabriela Pinto,5,27,26793.0,67,1,1,2,4,112,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gabriela Rocha,160,41,43284.0,96,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Gabriela Rodrigues,110,41,44883.0,104,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Gabrielle Almeida,40,39,38756.0,98,3,3,3,9,333,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Gabrielle Castro,142,32,31898.0,96,5,2,2,9,522,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Gabrielle Cavalcanti,312,20,20550.0,47,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Gabrielle Correia,14,44,34072.0,149,2,4,2,8,242,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gabrielle Fernandes,86,33,36280.0,86,4,2,3,9,423,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Gabrielly Martins,10,46,47515.0,123,1,4,4,9,144,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Giovana Cardoso,16,42,43093.0,115,2,4,4,10,244,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Giovana Gomes,2,33,26306.0,78,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Giovana Silva,23,31,28413.0,63,2,2,2,6,222,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Giovana Sousa,280,29,32627.0,81,5,1,2,8,512,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Giovanna Azevedo,164,38,32135.0,93,5,3,2,10,532,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Giovanna Correia,17,25,15089.0,63,2,1,1,4,211,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Giovanna Oliveira,84,31,32444.0,77,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Giovanna Rocha,12,51,50413.0,116,2,5,4,11,254,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Guilherme Almeida,8,33,29817.0,76,1,2,2,5,122,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Guilherme Costa,77,31,34539.0,78,4,2,2,8,422,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Guilherme Fernandes,52,40,30570.0,103,3,4,2,9,342,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Guilherme Lima,39,28,26540.0,72,3,1,2,6,312,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Guilherme Martins,7,39,36833.0,109,1,3,3,7,133,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Guilherme Oliveira,41,35,27732.0,86,3,2,2,7,322,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Guilherme Ribeiro,158,38,43210.0,94,5,3,4,12,534,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Gustavo Barbosa,282,36,36333.0,101,5,3,3,11,533,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Gustavo Cardoso,12,50,43057.0,148,2,5,4,11,254,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gustavo Castro,42,28,23790.0,82,3,1,1,5,311,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Gustavo Correia,62,36,42207.0,90,4,3,4,11,434,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Gustavo Goncalves,3,90,94543.0,234,1,5,5,11,155,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Gustavo Silva,101,45,40061.0,105,5,4,3,12,543,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Igor Castro,20,91,79648.0,249,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Igor Costa,36,49,39320.0,127,3,5,3,11,353,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Igor Fernandes,42,41,31141.0,97,3,4,2,9,342,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Igor Gomes,235,22,20497.0,58,5,1,1,7,511,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Igor Martins,50,28,26666.0,64,3,1,2,6,312,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Igor Oliveira,82,57,51528.0,150,4,5,4,13,454,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Igor Ribeiro,2,33,35791.0,78,1,2,3,6,123,Baixo Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Igor Silva,34,27,39313.0,66,3,1,3,7,313,Médio Valor,Clientes Potenciais,Converter: Incentivar compras mais frequentes com promoções personalizadas e cross-sell.
Igor Sousa,46,38,37114.0,105,3,3,3,9,333,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Isabela Azevedo,12,87,97842.0,197,2,5,5,12,255,Alto Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Isabela Correia,33,36,32759.0,74,3,3,2,8,332,Médio Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabela Costa,66,40,41751.0,99,4,4,3,11,443,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Isabela Goncalves,34,36,47240.0,103,3,3,4,10,334,Médio Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Isabela Lima,8,46,40430.0,128,1,4,3,8,143,Médio Valor,Clientes em Risco,Reativar: Campanhas de win-back com descontos e lembretes para recuperar interesse.
Isabela Souza,116,45,48101.0,124,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
Isabella Almeida,154,40,40040.0,96,5,4,3,12,543,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Isabella Castro,117,36,40899.0,80,5,3,3,11,533,Alto Valor,Clientes Fiéis,Manter: Enviar comunicações regulares e ofertas de upsell para fortalecer o relacionamento.
Isabella Cunha,40,21,16402.0,40,3,1,1,5,311,Baixo Valor,Novos Clientes,Integrar: Bem-vindo e orientações para construir lealdade desde o início.
Isabella Ferreira,124,46,42668.0,126,5,4,4,13,544,Alto Valor,Campeões,Priorizar: Oferecer benefícios exclusivos e programas VIP para maximizar retenção e valor.
